X_cadv,Y_cadv,V_cadv,a_cadv,A_cadv,V_cadv_x,V_cadv_y,TH,X_left_front,Y_left_front,X_left,Y_left,X_left_behind,Y_left_behind,X_front,Y_front,X_behind,Y_behind,X_right_front,Y_right_front,X_right,Y_right,X_right_behind,Y_right_behind,V_x_left_front,V_y_left_front,V_x_left,V_y_left,V_x_left_behind,V_y_left_behind,V_x_front,V_y_front,V_x_behind,V_y_behind,V_x_right_front,V_y_right_front,V_x_right,V_y_right,V_x_right_behind,V_y_right_behind,V,K,Q,TOT
-1.028312765,62.2676485,5.56,0,0,20,0,9999,9999,9999,9999,9999,9999,9999,-0.168684377,-16.715102,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,-0.168684377,-16.715102,9999,9999,9999,9999,9999,9999,9999,9999,21.69,0.276625173,6,5.487
3.621677835,35.0545168,-2.64,0.31,-3.01,-1.13,-8.46,9999,9999,9999,9999,9999,9999,9999,9999,9999,-1.099386848,2102.787485,9999,9999,-2.472182521,1.203433515,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,-1.099386848,2102.787485,9999,9999,-2.472182521,1.203433515,9999,9999,10.61666667,0.282574568,3,3.648
-1.126463841,35.53372707,-4.4,-0.44,3.07,1.27,-16.71,9999,9999,9999,4.344921571,-2.462710248,9999,9999,9999,9999,0.610477216,12.15279002,9999,9999,9999,9999,9999,9999,9999,9999,4.344921571,-2.462710248,9999,9999,9999,9999,0.610477216,12.15279002,9999,9999,9999,9999,9999,9999,14.02666667,0.213878327,3,7.2901
1.797110357,35.0404161,-5,-0.77,-3.13,-0.29,-19.64,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,8.98,0.222717149,2,5.542
2.747698638,35.24064612,-3.44,0.45,3.09,0.57,-11.81,9999,9999,9999,9999,9999,9999,9999,-1.126836209,-11.93885525,-0.14330003,1.825925545,9999,9999,9999,9999,-5.918340623,32.87895579,9999,9999,9999,9999,9999,9999,-1.126836209,-11.93885525,-0.14330003,1.825925545,9999,9999,9999,9999,-5.918340623,32.87895579,16.03363636,0.68605772,11,5.088
4.01095756,35.21812612,-2.9,-0.4,-3.03,-1.33,-11.4,9999,9999,9999,9999,9999,9999,9999,9999,9999,-0.187593159,4.006619886,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,-0.187593159,4.006619886,9999,9999,9999,9999,9999,9999,15.38,0.260078023,4,3.836
1.112950724,35.69610496,-4.57,0.23,-3.09,-0.83,-15.92,-1,9999,9999,9999,9999,3.191129513,16.23274768,9999,9999,9999,9999,9999,9999,9999,9999,-4.741719132,11.8533752,9999,9999,9999,9999,3.191129513,16.23274768,9999,9999,9999,9999,9999,9999,9999,9999,-4.741719132,11.8533752,10.1075,0.395745733,4,8.471
1.202307003,64.6885178,4.73,-0.38,-0.01,-0.14,16.15,2,3.19284813,-24.15827467,9999,9999,9999,9999,9999,9999,9999,9999,-3.362858408,-4.148583665,9999,9999,9999,9999,3.19284813,-24.15827467,9999,9999,9999,9999,9999,9999,9999,9999,-3.362858408,-4.148583665,9999,9999,9999,9999,12.2325,0.326997752,4,5.677
3.048134661,36.5165997,-3.46,-4.46,3.14,0.04,-27.49,-1,9999,9999,9999,9999,9999,9999,-0.042659026,-153.5037239,-0.313593773,76.13168433,9999,9999,9999,9999,-4.34702478,127.8143728,9999,9999,9999,9999,9999,9999,-0.042659026,-153.5037239,-0.313593773,76.13168433,9999,9999,9999,9999,-4.34702478,127.8143728,17.125,0.350364964,6,4.393
-4.751933767,64.88752338,5.95,-0.35,0.04,0.85,20.72,9999,8.172513936,-35.30967924,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,8.172513936,-35.30967924,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,12.5425,0.318915687,4,4.248
